day,month,year,Temperature,RH,Ws,Rain,FFMC,DMC,DC,ISI,BUI,FWI,cos(day+month),cos(day+year),cos(day+Temperature),cos(day+RH),cos(day+Ws),cos(day+Rain),cos(day+FFMC),cos(day+DMC),cos(day+DC),cos(day+ISI),cos(day+BUI),cos(day+FWI),cos(month+year),cos(month+Temperature),cos(month+RH),cos(month+Ws),cos(month+Rain),cos(month+FFMC),cos(month+DMC),cos(month+DC),cos(month+ISI),cos(month+BUI),cos(month+FWI),cos(year+Temperature),cos(year+RH),cos(year+Ws),cos(year+Rain),cos(year+FFMC),cos(year+DMC),cos(year+DC),cos(year+ISI),cos(year+BUI),cos(year+FWI),cos(Temperature+RH),cos(Temperature+Ws),cos(Temperature+Rain),cos(Temperature+FFMC),cos(Temperature+DMC),cos(Temperature+DC),cos(Temperature+ISI),cos(Temperature+BUI),cos(Temperature+FWI),cos(RH+Ws),cos(RH+Rain),cos(RH+FFMC),cos(RH+DMC),cos(RH+DC),cos(RH+ISI),cos(RH+BUI),cos(RH+FWI),cos(Ws+Rain),cos(Ws+FFMC),cos(Ws+DMC),cos(Ws+DC),cos(Ws+ISI),cos(Ws+BUI),cos(Ws+FWI),cos(Rain+FFMC),cos(Rain+DMC),cos(Rain+DC),cos(Rain+ISI),cos(Rain+BUI),cos(Rain+FWI),cos(FFMC+DMC),cos(FFMC+DC),cos(FFMC+ISI),cos(FFMC+BUI),cos(FFMC+FWI),cos(DMC+DC),cos(DMC+ISI),cos(DMC+BUI),cos(DMC+FWI),cos(DC+ISI),cos(DC+BUI),cos(DC+FWI),cos(ISI+BUI),cos(ISI+FWI),cos(BUI+FWI),Classes
1,6,2012,29,57,18,0.0,65.7,3.4,7.6,1.3,3.4,0.5,0.7539022543433050,-0.7242219278469360,0.15425144988758400,0.11918013544881900,0.9887046181866690,0.5403023058681400,-0.7474678236958640,-0.30733286997841900,-0.6787200473200130,-0.666276021279824,-0.30733286997841900,0.0707372016677029,0.4558081269352540,-0.9036922050915070,0.9858965815825500,0.4241790073369970,0.9601702866503660,-0.8490398484873360,-0.9996930420352070,0.511703992453149,0.5260775173811050,-0.9996930420352070,0.9765876257280240,0.5103325940127420,-0.25827636968843600,0.862227273794955,0.188951815557452,-0.4471176572463690,0.0682596028665689,-0.9030079121624760,-0.8956566059020440,0.0682596028665689,-0.3049685212160980,-0.38369844494974200,-0.9923354691509290,-0.7480575296890000,0.8994790893557310,0.553634933534655,0.4543874744042690,0.43934534831800100,0.553634933534655,-0.3383192109710550,0.9217512697247490,0.8998668269691940,-0.984219872384559,-0.7585315996547400,-0.19607204956188900,-0.17955679797714200,-0.7585315996547400,0.580598912666927,0.6603167082440800,-0.43297870388718000,-0.8303011087085250,0.8928064017629100,0.9002538547473050,-0.8303011087085250,0.939524893748256,-0.9628460934704970,-0.9667981925794610,0.25125984258225600,0.26749882862458700,-0.9667981925794610,0.8775825618903730,0.9998869257099260,-0.5033119781891870,-0.5177697997895050,0.9998869257099260,-0.9744461612148650,0.004425697988050790,-0.01238866346289060,0.8693974903498250,-0.7259323042001400,-0.8654352092411120,0.004425697988050790,-0.2435441537357910,-0.01238866346289060,-0.2272020946930870,-0.7259323042001400,not fire
2,6,2012,29,61,13,1.3,64.4,4.1,7.6,1.0,3.9,0.4,-0.14550003380861400,-0.9715493707093900,0.9147423578045310,0.9858965815825500,-0.7596879128588210,-0.9874797699088650,-0.9103967730584250,0.9832684384425850,-0.984687855794127,-0.9899924966004450,0.9274784307440360,-0.7373937155412450,0.4558081269352540,-0.9036922050915070,-0.5177697997895050,0.9887046181866690,0.5260775173811050,0.28195838837539200,-0.7805681801691840,0.511703992453149,0.7539022543433050,-0.8891911526253610,0.9931849187581930,0.5103325940127420,0.8999456996773360,-0.24113458224528700,-0.8956566059020440,-0.9814823055663890,0.6949229335134810,-0.9030079121624760,-0.7242219278469360,0.538210760397962,-0.20836735345900200,-0.4480736161291700,-0.3999853149883510,0.43934534831800100,0.6616496548410260,-0.1130350361284830,0.4543874744042690,0.15425144988758400,0.08661419855190750,-0.43057540477663,0.17171734183077800,0.8618688000890150,0.9654305659583740,-0.6421890568137260,0.8702738186742400,0.6735071623235860,-0.47709879270357100,0.13849663112052600,-0.16211443649971800,-0.41776137677421800,-0.17780907112311600,-0.17868300502473500,0.1367372182078340,-0.36976826386317300,0.6721930835534680,-0.9628460934704970,0.6346928759426340,-0.8654352092411120,-0.666276021279824,0.4685166713003770,-0.12884449429552500,0.8167513032223340,-0.9672505882738820,-0.8400365570424710,0.6858404635887450,-0.38697672074017000,0.6475963386538760,0.37797774271298000,-0.14550003380861400,-0.21079579943078000,-0.6787200473200130,0.4833047587530060,-0.14550003380861400,0.18651236942257600,0.169967142900241,-0.40079917207997500,not fire
3,6,2012,26,82,22,13.1,47.1,2.5,7.1,0.3,2.7,0.1,-0.9111302618846770,-0.32563880267111100,-0.7480575296890000,-0.9843766433940420,0.9912028118634740,-0.9241328000731300,0.9863389957889220,0.70866977429126,-0.7805681801691840,-0.9874797699088650,0.8347127848391600,-0.9991351502732800,0.4558081269352540,0.8342233605065100,0.9993732836951250,-0.9626058663135670,0.9688024594072100,-0.9532217576632310,-0.6020119026848240,0.8609666164623060,0.9998586363834150,-0.7486466455973990,0.9832684384425850,-0.6265854166670990,-0.1281430667267200,-0.18025254864150600,-0.33681741460071800,-0.21235512868596200,-0.7390690230821520,-0.5864913188713130,-0.10968424798301100,-0.5905072855943750,0.089972790088501,0.37550959776701200,-0.6401443394692000,0.16909184197889300,-0.6649503643367160,-0.9746452757206580,-0.1130350361284830,0.3926742032638760,-0.9107638766871470,0.5675586048115440,-0.9468680107512130,0.658313383119661,-0.9568889718559660,-0.9482869255037090,0.4217646174105360,0.8146963231790930,-0.9924448300725430,0.9136625655223590,-0.856430569350572,0.9998869257099250,0.8064094939122550,-0.6780675198445590,-0.9526833244002690,0.9078195977561950,-0.9940815309292620,-0.872871608293454,-0.9941776251838150,0.21857336778526300,0.6721930835534680,-0.9957676088732890,0.8058839576404510,0.7866189887891040,-0.7017646034733180,-0.9621231342138230,0.8936051166745100,-0.9971050169212830,-0.984687855794127,-0.9422223406686580,0.4685166713003770,-0.8568887533689470,0.43854732757439100,-0.9304262721047530,0.6083513145322550,-0.9899924966004450,0.9210609940028850,-0.9422223406686580,not fire
4,6,2012,25,89,13,2.5,28.6,1.3,6.9,0.0,1.7,0.0,-0.8390715290764520,0.6196625787827070,-0.7480575296890000,0.31742870151970200,-0.27516333805159700,0.9765876257280240,0.37715532502333400,0.5543743361791610,-0.09542885100095070,-0.6536436208636120,0.8347127848391600,-0.6536436208636120,0.4558081269352540,0.9147423578045310,0.7301735609948200,0.9887046181866690,-0.6020119026848240,-0.9990978260547260,0.5260775173811050,0.9448600381598610,0.9601702866503660,0.15337386203786400,0.9601702866503660,0.31725718421695400,-0.7481775463387710,-0.24113458224528700,-0.7390690230821520,0.13515658259737600,-0.8956566059020440,-0.41388722009694700,0.188951815557452,-0.9981467187646250,0.188951815557452,0.6195206125592100,0.9550736440472950,-0.7148869687796650,-0.9814476440973230,0.3926742032638760,0.8851065280947900,0.9912028118634740,0.003537548134909950,0.9912028118634740,0.10158570369662100,-0.9234526637284140,-0.20819045382794400,-0.6922551540844390,-0.08133412338895850,0.5101770449416690,-0.9186340676476690,0.5101770449416690,-0.9784534628188840,-0.7253211736891910,-0.16211443649971800,0.4971857948712050,0.9074467814501960,-0.5335843865891180,0.9074467814501960,0.9505089147582920,-0.7909677119144170,-0.9996930420352070,-0.8011436155469340,-0.4902608213407000,-0.8011436155469340,0.054842262350018000,-0.587782813560387,-0.9474378189567580,0.43934534831800100,-0.9474378189567580,-0.3391548609838360,0.26749882862458700,-0.9899924966004450,0.26749882862458700,0.8157251001253570,-0.6787200473200130,0.8157251001253570,-0.12884449429552500,1.0,-0.12884449429552500,not fire
5,6,2012,27,77,16,0.0,64.8,3.0,14.2,1.2,3.9,0.5,0.004425697988050790,0.9952490430241000,0.8342233605065100,0.9496776978825430,-0.5477292602242690,0.2836621854632260,0.7744433278635740,-0.14550003380861400,0.9392203466968710,0.9965420970232180,-0.8654352092411120,0.70866977429126,0.4558081269352540,-0.013276747223059500,0.2495401179733380,-0.9999608263946370,0.9601702866503660,-0.11391745615730700,-0.9111302618846770,0.21857336778526300,0.6083513145322550,-0.8891911526253610,0.9765876257280240,-0.9943482751141180,-0.9873679508411560,0.10176563249608500,0.188951815557452,-0.9785992506169280,-0.32563880267111100,-0.9919131700195630,-0.8467815138984040,0.538210760397962,-0.3049685212160980,-0.9468680107512130,0.5551133015206260,-0.2921388087338360,-0.7688132686991620,0.15425144988758400,-0.9361447674306610,-0.9972385088794740,0.8698359975852090,-0.7148869687796650,0.31742870151970200,-0.030975031731216500,-0.9096604116662960,-0.11038724383904800,-0.9956027825808230,-0.9428158979523700,0.7099219166513440,-0.506378638074642,-0.9576594803233850,0.6360645461588530,0.9887046181866690,0.3474682721812600,-0.07867819473184020,0.4971857948712050,-0.7023970575027140,-0.38697672074015600,-0.9899924966004450,-0.06279172292408180,0.3623577544766740,-0.7259323042001400,0.8775825618903730,0.2529787743934900,-0.8959709467909630,-0.99964745596635,0.9151008458042380,-0.7816772697734870,-0.07867819473184020,-0.4902608213407000,0.8157251001253570,-0.9364566872907960,-0.9529529168871800,0.7319914978089440,-0.5335843865891180,0.37797774271298000,-0.12884449429552500,-0.30733286997841900,not fire
6,6,2012,31,67,14,0.0,82.6,5.8,22.2,3.1,7.0,2.5,0.8438539587324920,0.4558081269352540,0.7654140519453430,-0.7361927182273160,0.40808206181339200,0.9601702866503660,0.8048309784133030,0.7204324789908390,-0.9972385088794740,-0.9477216021311120,0.9074467814501960,-0.6020119026848240,0.4558081269352540,0.7654140519453430,-0.7361927182273160,0.40808206181339200,0.9601702866503660,0.8048309784133030,0.7204324789908390,-0.9972385088794740,-0.9477216021311120,0.9074467814501960,-0.6020119026848240,0.5696016859435190,0.7422754064249110,-0.9469261658598850,0.188951815557452,-0.6657484242302270,0.6235535234888070,0.018755700799604700,-0.22962004398437900,-0.5027006789909890,-0.7390690230821520,-0.8192882452914590,0.5253219888177300,0.9147423578045310,0.876302032914141,0.6223054402265310,-0.9786364524049920,-0.897151090185845,0.9550736440472950,-0.49103472393024000,0.7766859820216310,-0.5177697997895050,0.36566664869057000,-0.8559717097603540,0.3291380572390700,0.5528950941703660,0.17171734183077800,0.926812845565509,0.1367372182078340,-0.7042910931971770,0.5813218118144360,0.07162310572917040,-0.17780907112311600,-0.5477292602242690,-0.7023970575027140,0.6069405522963680,0.8855195169413190,-0.9782697014065080,-0.9991351502732800,0.7539022543433050,-0.8011436155469340,0.9066990016890810,-0.42897150607819300,-0.6394617563830490,-0.06456443148960150,-0.9618806296517990,-0.9626058663135670,-0.8654352092411120,0.9728325656974350,-0.4313768449706210,0.9860448308379630,-0.6013024834811550,0.9078195977561950,-0.7805681801691840,0.7755658785102500,-0.9971721561963780,fire
7,6,2012,33,54,13,0.0,88.2,9.9,30.5,6.4,10.9,7.2,0.9074467814501960,-0.5027006789909890,-0.6669380616522620,-0.25810163593826700,0.40808206181339200,0.7539022543433050,0.5798755555298330,-0.36976826386317300,0.9802426408101080,0.6721930835534680,0.5820442524021220,-0.06279172292408180,0.4558081269352540,0.2666429323599370,-0.9524129804151560,0.9887046181866690,0.9601702866503660,0.9988587716774110,-0.9816175436063840,0.3631854084160620,0.9861923022788640,-0.36976826386317300,0.8058839576404510,-0.9844084734073710,0.3920236255593150,-0.24113458224528700,0.188951815557452,-0.0452955721686291,0.28127972427162800,0.8939223634221750,0.07321436414134300,0.9594733684301230,-0.66442193136191,0.569750334265312,-0.4321779448847780,-0.013276747223059500,-0.24612752921795300,0.46930113277710900,0.784971051068018,-0.12972519732818600,0.996615500394315,-0.8016748366746300,-0.5177697997895050,-0.8293098328631500,-0.6761067302290550,0.48174891926894600,-0.9482869255037090,-0.7585315996547400,-0.47709879270357100,-0.061018816232456700,0.9074467814501960,0.784420499510169,-0.6146521488144700,0.8859318072699820,0.8522923238654640,0.3316528972032490,0.21857336778526300,0.9724197970216670,-0.8891911526253610,0.6090559761063560,0.9931849187581930,-0.09542885100095070,0.6083513145322550,-0.7579525453041630,0.7772451149968320,0.9386090302000180,0.1393761740499040,0.4064597415690030,-0.9044513657900170,-0.829805798070649,-0.37059332583764100,-0.17780907112311600,0.6973435592523950,-0.8476291196356830,0.9999996055886660,0.021238808173646000,0.5117039924531480,0.7319914978089470,fire
8,6,2012,30,73,15,0.0,86.6,12.1,38.3,5.6,13.5,7.1,0.1367372182078340,-0.9990287989758750,0.9550736440472950,0.7766859820216310,-0.5328330203333980,-0.14550003380861400,0.9386090302000230,0.3149009076879340,-0.6793720394057060,0.511703992453149,-0.8817917275413240,-0.8208130944926680,0.4558081269352540,-0.12796368962740500,-0.8959709467909630,-0.5477292602242690,0.9601702866503660,-0.07690726414746450,0.7319914978089470,0.9499555195937610,0.5682896297679740,0.7958149698139440,0.8609666164623060,0.9993796697027400,0.5254758798437130,-0.7821181995566570,0.188951815557452,0.9998702786048190,0.6103205934575960,-0.3993369677332410,0.7664398087977810,-0.6768940038792520,-0.5864913188713130,-0.782230889887116,0.5253219888177300,0.15425144988758400,-0.9355187126003920,-0.306487576904594,0.6858404635887350,-0.504079240209085,0.8859318072699820,0.8258367804435000,0.9993732836951250,-0.7361927182273160,-0.8131658842429300,-0.9618806296517990,-0.22460650271960600,-0.9981895100953400,0.10600249902117600,-0.010612467325731600,-0.7596879128588210,0.48097042919832200,-0.38615760806093300,-0.9942729352085220,-0.17868300502473500,-0.9746452757206580,-0.9940815309292620,0.2047438695914220,0.8932061115093230,0.824833798332418,0.7755658785102500,0.594920663309892,0.6845466664428070,-0.2572434700675130,0.722277796799971,-0.45910126384311400,0.9085630817486420,0.8536829902749290,0.990966149974821,0.4088927393988800,0.8928064017629100,0.9392203466968710,0.996615500394315,0.036270826700509700,0.15249615320336700,0.9688024594072100,0.9910848718142530,-0.17868300502473500,fire
9,6,2012,25,88,13,0.2,52.9,7.9,38.8,0.4,10.5,0.3,-0.7596879128588210,-0.5768544484396990,-0.8485702747846050,-0.9251475365964140,-0.9999608263946370,-0.9748436214041640,0.596347497390676,-0.36976826386317300,-0.7800127115533820,-0.9996930420352070,0.7958149698139440,-0.9922253254526030,0.4558081269352540,0.9147423578045310,0.9694593666699880,0.9887046181866690,0.9965420970232180,-0.7036603028628810,0.23494981853982300,0.6838989576357020,0.9931849187581930,-0.7023970575027140,0.9998586363834150,0.31725718421695400,0.15407274591911000,-0.24113458224528700,-0.009905213758189790,-0.6420504040571100,-0.9896389573730860,-0.789990518363147,-0.20836735345900200,0.7739956714093730,-0.10968424798301100,0.9952666362171310,0.9550736440472950,0.9977389813911300,-0.802205425423044,0.08661419855190750,0.5668271321520260,0.9644984462781500,-0.587782813560387,0.9860448308379630,0.8920048697881600,0.9724197970216670,-0.8908109925839780,-0.08133412338895850,0.42095915452667800,0.9066990016890750,-0.4440991644246520,0.9442768504319180,0.8058839576404510,-0.9973040749182290,-0.46146670441590900,0.036270826700509700,0.6721930835534680,-0.061905293994420500,0.7427491727036700,-0.9532217576632310,-0.2435441537357910,0.2666429323599370,0.8253356149096780,-0.29128928172134600,0.8775825618903730,-0.4448947579060310,-0.828813213477263,-0.9942729352085220,0.842899506028648,-0.9786364524049900,-0.9114959283620020,-0.4313768449706210,0.9006401723847690,-0.3391548609838360,0.06985124180713440,0.569020206444659,0.16909184197890000,-0.09542885100095070,0.7648421872844890,-0.1943299064553350,not fire
10,6,2012,28,79,12,0.0,73.2,9.5,46.3,1.3,12.6,0.9,-0.9576594803233850,0.3756772216913490,0.9550736440472950,0.5101770449416690,-0.9999608263946370,-0.8390715290764520,0.05218161000373250,0.7958149698139440,0.9692411620842170,0.2997453432770150,-0.820305458367489,-0.09542885100095070,0.4558081269352540,-0.8485702747846050,-0.9843766433940420,0.6603167082440800,0.9601702866503660,-0.7898796129768650,-0.9784534628188840,-0.44727943018279200,0.5260775173811050,0.9690221929390500,0.8157251001253570,-0.4479119150932330,0.26681724592987000,0.6863550242365260,0.188951815557452,0.6840309021626760,-0.11462011409786900,-0.8489442778178630,-0.8956566059020440,0.15582760570568600,-0.6517620086702580,0.9827795820412210,-0.6669380616522620,-0.9626058663135670,0.784420499510169,0.9802426408101080,0.4551784689518160,-0.518529431466979,-0.9711702731126900,-0.8105731959717330,-0.9943674609282020,-0.8959709467909630,0.16646514167635400,0.8600617162362020,0.9345848202763400,0.18825721843234600,-0.8805319305955140,-0.20905906750109500,0.8438539587324920,-0.9297738226135350,-0.8817917275413240,-0.17955679797714200,0.7427491727036700,0.8614180480287030,0.9448600381598610,-0.5870640462090190,-0.9971721561963780,-0.6793720394057060,0.26749882862458700,0.9994345855010050,0.6216099682706650,0.5245660458684600,0.9928708516677030,0.6230004212937650,-0.559512893548245,0.26920998745149400,0.7325963225609060,-0.1943299064553350,-0.9940815309292620,-0.5609842574272290,-0.88878443830038,-0.7036603028628810,-0.9971050169212840,0.23494981853982300,-0.5885011172553460,0.594920663309892,not fire
