day,month,year,Temperature,RH,Ws,Rain,FFMC,DMC,DC,ISI,BUI,FWI,day*month,day*year,day*Temperature,day*RH,day*Ws,day*Rain,day*FFMC,day*DMC,day*DC,day*ISI,day*BUI,day*FWI,month*year,month*Temperature,month*RH,month*Ws,month*Rain,month*FFMC,month*DMC,month*DC,month*ISI,month*BUI,month*FWI,year*Temperature,year*RH,year*Ws,year*Rain,year*FFMC,year*DMC,year*DC,year*ISI,year*BUI,year*FWI,Temperature*RH,Temperature*Ws,Temperature*Rain,Temperature*FFMC,Temperature*DMC,Temperature*DC,Temperature*ISI,Temperature*BUI,Temperature*FWI,RH*Ws,RH*Rain,RH*FFMC,RH*DMC,RH*DC,RH*ISI,RH*BUI,RH*FWI,Ws*Rain,Ws*FFMC,Ws*DMC,Ws*DC,Ws*ISI,Ws*BUI,Ws*FWI,Rain*FFMC,Rain*DMC,Rain*DC,Rain*ISI,Rain*BUI,Rain*FWI,FFMC*DMC,FFMC*DC,FFMC*ISI,FFMC*BUI,FFMC*FWI,DMC*DC,DMC*ISI,DMC*BUI,DMC*FWI,DC*ISI,DC*BUI,DC*FWI,ISI*BUI,ISI*FWI,BUI*FWI,Classes
1,6,2012,29,57,18,0.0,65.7,3.4,7.6,1.3,3.4,0.5,6.0,2012.0,29.0,57.0,18.0,0.0,65.7,3.4,7.6,1.3,3.4,0.5,12072.0,174.0,342.0,108.0,0.0,394.20000000000000,20.4,45.600000000000000,7.800000000000000,20.4,3.0,58348.0,114684.0,36216.0,0.0,132188.4,6840.8,15291.200000000000,2615.6,6840.8,1006.0,1653.0,522.0,0.0,1905.3000000000000,98.6,220.40000000000000,37.7,98.6,14.5,1026.0,0.0,3744.9,193.80000000000000,433.2,74.10000000000000,193.80000000000000,28.5,0.0,1182.6000000000000,61.200000000000000,136.80000000000000,23.400000000000000,61.200000000000000,9.0,0.0,0.0,0.0,0.0,0.0,0.0,223.38,499.32,85.41000000000000,223.38,32.85,25.84,4.42,11.560000000000000,1.7,9.880000000000000,25.84,3.8,4.42,0.65,1.7,not fire
2,6,2012,29,61,13,1.3,64.4,4.1,7.6,1.0,3.9,0.4,12.0,4024.0,58.0,122.0,26.0,2.6,128.8,8.2,15.2,2.0,7.8,0.8,12072.0,174.0,366.0,78.0,7.800000000000000,386.40000000000000,24.600000000000000,45.600000000000000,6.0,23.4,2.4000000000000000,58348.0,122732.0,26156.0,2615.6,129572.80000000000,8249.200000000000,15291.200000000000,2012.0,7846.8,804.8000000000000,1769.0,377.0,37.7,1867.6000000000000,118.90000000000000,220.40000000000000,29.0,113.1,11.600000000000000,793.0,79.3,3928.4000000000000,250.10000000000000,463.60000000000000,61.0,237.9,24.400000000000000,16.900000000000000,837.2,53.3,98.8,13.0,50.700000000000000,5.2,83.72000000000000,5.33,9.880000000000000,1.3,5.07,0.52,264.04,489.44,64.4,251.16000000000000,25.760000000000000,31.160000000000000,4.1,15.990000000000000,1.64,7.6,29.640000000000000,3.04,3.9,0.4,1.56,not fire
3,6,2012,26,82,22,13.1,47.1,2.5,7.1,0.3,2.7,0.1,18.0,6036.0,78.0,246.0,66.0,39.3,141.3,7.5,21.300000000000000,0.9000000000000000,8.100000000000000,0.30000000000000000,12072.0,156.0,492.0,132.0,78.6,282.6,15.0,42.600000000000000,1.8000000000000000,16.200000000000000,0.6000000000000000,52312.0,164984.0,44264.0,26357.2,94765.2,5030.0,14285.200000000000,603.6,5432.400000000000,201.20000000000000,2132.0,572.0,340.60000000000000,1224.6000000000000,65.0,184.6,7.8,70.2,2.6,1804.0,1074.2,3862.2000000000000,205.0,582.2000000000000,24.600000000000000,221.4,8.200000000000000,288.2,1036.2,55.0,156.2,6.6,59.400000000000000,2.2,617.01,32.75,93.01000000000000,3.9300000000000000,35.370000000000000,1.31,117.75,334.41000000000000,14.13,127.17000000000000,4.71,17.75,0.75,6.75,0.25,2.13,19.17,0.71,0.81,0.03,0.27,not fire
4,6,2012,25,89,13,2.5,28.6,1.3,6.9,0.0,1.7,0.0,24.0,8048.0,100.0,356.0,52.0,10.0,114.4,5.2,27.6,0.0,6.8,0.0,12072.0,150.0,534.0,78.0,15.0,171.60000000000000,7.800000000000000,41.400000000000000,0.0,10.2,0.0,50300.0,179068.0,26156.0,5030.0,57543.200000000000,2615.6,13882.800000000000,0.0,3420.4,0.0,2225.0,325.0,62.5,715.0,32.5,172.5,0.0,42.5,0.0,1157.0,222.5,2545.4,115.7,614.1,0.0,151.30000000000000,0.0,32.5,371.8,16.900000000000000,89.7,0.0,22.100000000000000,0.0,71.5,3.25,17.25,0.0,4.25,0.0,37.18,197.34000000000000,0.0,48.620000000000000,0.0,8.97,0.0,2.21,0.0,0.0,11.73,0.0,0.0,0.0,0.0,not fire
5,6,2012,27,77,16,0.0,64.8,3.0,14.2,1.2,3.9,0.5,30.0,10060.0,135.0,385.0,80.0,0.0,324.0,15.0,71.0,6.0,19.5,2.5,12072.0,162.0,462.0,96.0,0.0,388.80000000000000,18.0,85.20000000000000,7.200000000000000,23.4,3.0,54324.0,154924.0,32192.0,0.0,130377.60000000000,6036.0,28570.400000000000,2414.4,7846.8,1006.0,2079.0,432.0,0.0,1749.6,81.0,383.4,32.4,105.3,13.5,1232.0,0.0,4989.600000000000,231.0,1093.4000000000000,92.40000000000000,300.3,38.5,0.0,1036.8,48.0,227.2,19.2,62.4,8.0,0.0,0.0,0.0,0.0,0.0,0.0,194.40000000000000,920.16,77.76000000000000,252.72000000000000,32.4,42.600000000000000,3.6000000000000000,11.7,1.5,17.04,55.380000000000000,7.1,4.68,0.6,1.95,not fire
6,6,2012,31,67,14,0.0,82.6,5.8,22.2,3.1,7.0,2.5,36.0,12072.0,186.0,402.0,84.0,0.0,495.60000000000000,34.8,133.2,18.6,42.0,15.0,12072.0,186.0,402.0,84.0,0.0,495.60000000000000,34.8,133.2,18.6,42.0,15.0,62372.0,134804.0,28168.0,0.0,166191.20000000000,11669.6,44666.4,6237.2,14084.0,5030.0,2077.0,434.0,0.0,2560.6,179.80000000000000,688.2000000000000,96.10000000000000,217.0,77.5,938.0,0.0,5534.2,388.60000000000000,1487.4000000000000,207.70000000000000,469.0,167.5,0.0,1156.4000000000000,81.2,310.8,43.4,98.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,479.0800000000000,1833.7200000000000,256.06,578.2000000000000,206.5,128.76,17.98,40.6,14.5,68.82,155.4,55.5,21.7,7.75,17.5,fire
7,6,2012,33,54,13,0.0,88.2,9.9,30.5,6.4,10.9,7.2,42.0,14084.0,231.0,378.0,91.0,0.0,617.4,69.3,213.5,44.800000000000000,76.3,50.4,12072.0,198.0,324.0,78.0,0.0,529.2,59.400000000000000,183.0,38.400000000000000,65.4,43.2,66396.0,108648.0,26156.0,0.0,177458.4,19918.8,61366.0,12876.800000000000,21930.8,14486.4,1782.0,429.0,0.0,2910.6,326.7,1006.5,211.20000000000000,359.7,237.6,702.0,0.0,4762.8,534.6,1647.0,345.6,588.6,388.8,0.0,1146.6000000000000,128.70000000000000,396.5,83.2,141.70000000000000,93.60000000000000,0.0,0.0,0.0,0.0,0.0,0.0,873.1800000000000,2690.1,564.48,961.3800000000000,635.0400000000000,301.95,63.36000000000000,107.91000000000000,71.28,195.20000000000000,332.45,219.6,69.76,46.080000000000000,78.48,fire
8,6,2012,30,73,15,0.0,86.6,12.1,38.3,5.6,13.5,7.1,48.0,16096.0,240.0,584.0,120.0,0.0,692.8,96.8,306.4,44.8,108.0,56.8,12072.0,180.0,438.0,90.0,0.0,519.6000000000000,72.6,229.80000000000000,33.600000000000000,81.0,42.600000000000000,60360.0,146876.0,30180.0,0.0,174239.20000000000,24345.2,77059.60000000000,11267.200000000000,27162.0,14285.200000000000,2190.0,450.0,0.0,2598.0,363.0,1149.0,168.0,405.0,213.0,1095.0,0.0,6321.800000000000,883.3,2795.9000000000000,408.80000000000000,985.5,518.3,0.0,1299.0,181.5,574.5,84.0,202.5,106.5,0.0,0.0,0.0,0.0,0.0,0.0,1047.86,3316.7800000000000,484.9600000000000,1169.1,614.8600000000000,463.43000000000000,67.76000000000000,163.35,85.91,214.48000000000000,517.05,271.93000000000000,75.6,39.76,95.85,fire
9,6,2012,25,88,13,0.2,52.9,7.9,38.8,0.4,10.5,0.3,54.0,18108.0,225.0,792.0,117.0,1.8,476.10000000000000,71.10000000000000,349.2,3.6,94.5,2.7000000000000000,12072.0,150.0,528.0,78.0,1.2000000000000000,317.4,47.400000000000000,232.80000000000000,2.4000000000000000,63.0,1.8000000000000000,50300.0,177056.0,26156.0,402.40000000000000,106434.8,15894.800000000000,78065.60000000000,804.8000000000000,21126.0,603.6,2200.0,325.0,5.0,1322.5,197.5,970.0000000000000,10.0,262.5,7.5,1144.0,17.6,4655.2,695.2,3414.4000000000000,35.2,924.0,26.4,2.6,687.7000000000000,102.7,504.4,5.2,136.5,3.9,10.58,1.58,7.76,0.08000000000000000,2.1,0.06,417.91,2052.52,21.16,555.4500000000000,15.87,306.52,3.16,82.95,2.37,15.52,407.4,11.640000000000000,4.2,0.12,3.15,not fire
10,6,2012,28,79,12,0.0,73.2,9.5,46.3,1.3,12.6,0.9,60.0,20120.0,280.0,790.0,120.0,0.0,732.0,95.0,463.0,13.0,126.0,9.0,12072.0,168.0,474.0,72.0,0.0,439.20000000000000,57.0,277.80000000000000,7.800000000000000,75.6,5.4,56336.0,158948.0,24144.0,0.0,147278.4,19114.0,93155.60000000000,2615.6,25351.2,1810.8,2212.0,336.0,0.0,2049.6,266.0,1296.4000000000000,36.4,352.8,25.2,948.0,0.0,5782.8,750.5,3657.7,102.7,995.4,71.10000000000000,0.0,878.4000000000000,114.0,555.6000000000000,15.600000000000000,151.2,10.8,0.0,0.0,0.0,0.0,0.0,0.0,695.4,3389.16,95.16000000000000,922.32,65.88000000000000,439.85000000000000,12.35,119.7,8.55,60.19,583.38,41.67,16.38,1.1700000000000000,11.34,not fire
