V1,V2,V3,V4,V1*V2,V1*V3,V1*V4,V2*V3,V2*V4,V3*V4
3.6216,8.6661,-2.8073,-0.44699,31.38514776,-10.166917680000001,-1.618818984,-24.32834253,-3.873660039,1.2548350270000002
4.5459,8.1674,-2.4586,-1.4621,37.12818366,-11.17654974,-6.646560389999999,-20.080369640000004,-11.941555540000001,3.59471906
3.866,-2.6383,1.9242,0.10645,-10.1996678,7.4389572,0.4115357,-5.07661686,-0.280847035,0.20483109
3.4566,9.5228,-4.0112,-3.5944,32.91651048,-13.865113919999999,-12.42440304,-38.19785536,-34.22875232,14.417857279999998
0.32924,-4.4552,4.5718,-0.9888,-1.4668300479999998,1.5052194319999999,-0.32555251199999996,-20.368283359999996,4.4053017599999995,-4.5205958399999995
4.3684,9.6718,-3.9606,-3.1625,42.25029112,-17.30148504,-13.815065,-38.30613107999999,-30.5870675,12.5253975
3.5912,3.0129,0.72888,0.56421,10.819926480000001,2.6175538560000002,2.026190952,2.196042552,1.699908309,0.4112413848
2.0922,-6.81,8.4636,-0.60216,-14.247881999999999,17.70754392,-1.259839152,-57.63711599999999,4.1007096,-5.096441376
3.2032,5.7588,-0.75345,-0.61251,18.446588159999997,-2.4134510399999995,-1.961992032,-4.3389678599999995,-3.527322588,0.4614956595
1.5356,9.1772,-2.2718,-0.73535,14.092508319999999,-3.48857608,-1.12920346,-20.848762959999995,-6.748454019999999,1.6705681299999997
1.2247,8.7779,-2.2135,-0.80647,10.75029413,-2.7108734499999994,-0.987683809,-19.42988165,-7.079113013000001,1.7851213449999999
3.9899,-2.7066,2.3946,0.86291,-10.79906334,9.55421454,3.442924609,-6.48122436,-2.3355522059999996,2.066324286
1.8993,7.6625,0.15394,-3.1108,14.553386249999999,0.292378242,-5.908342439999999,1.1795652499999998,-23.836505,-0.47887655199999996
-1.5768,10.843,2.5462,-2.9362,-17.0972424,-4.01484816,4.629800159999999,27.608446599999997,-31.837216599999998,-7.476152439999999
3.404,8.7261,-2.9915,-0.57242,29.7036444,-10.183065999999998,-1.9485176800000001,-26.10412815,-4.994994162000001,1.71239443
4.6765,-3.3895,3.4896,1.4771,-15.85099675,16.3191144,6.9076581500000005,-11.827999199999999,-5.00663045,5.15448816
2.6719,3.0646,0.37158,0.58619,8.18830474,0.992824602,1.566241061,1.138744068,1.796437874,0.2178164802
0.80355,2.8473,4.3439,0.6017,2.287947915,3.4905408449999995,0.483496035,12.368386469999999,1.7132204100000001,2.6137246299999997
1.4479,-4.8794,8.3428,-2.1086,-7.06488326,12.07954012,-3.05304194,-40.70785832000001,10.288702840000001,-17.59162808
5.2423,11.0272,-4.353,-4.1013,57.807890560000004,-22.8197319,-21.500244990000002,-48.0014016,-45.225855360000004,17.8529589
5.7867,7.8902,-2.6196,-0.48708,45.65822034,-15.15883932,-2.818585836,-20.669167920000003,-3.843158616,1.275954768
0.3292,-4.4552,4.5718,-0.9888,-1.46665184,1.5050365599999997,-0.32551296,-20.368283359999996,4.4053017599999995,-4.5205958399999995
3.9362,10.1622,-3.8235,-4.0172,40.00045164,-15.0500607,-15.81250264,-38.8551717,-40.82358984,15.3597642
0.93584,8.8855,-1.6831,-1.6599,8.315406320000001,-1.5751123040000001,-1.553400816,-14.95518505,-14.74904145,2.7937776899999998
4.4338,9.887,-4.6795,-3.7483,43.8369806,-20.7479671,-16.61921254,-46.2662165,-37.0594421,17.540169849999998
0.7057,-5.4981,8.3368,-2.8715,-3.88000917,5.88327976,-2.02641755,-45.83656008,15.787794150000002,-23.939121200000002
1.1432,-3.7413,5.5777,-0.63578,-4.27705416,6.37642664,-0.726823696,-20.86784901,2.378643714,-3.546190106
-0.38214,8.3909,2.1624,-3.7405,-3.206498526,-0.8263395359999999,1.42939467,18.14448216,-31.38616145,-8.088457199999999
6.5633,9.8187,-4.4113,-3.2258,64.44307371,-28.952685289999998,-21.171893139999998,-43.31323131,-31.67316246,14.22997154
4.8906,-3.3584,3.4202,1.0905,-16.42459104,16.72683012,5.3331993,-11.48639968,-3.6623352000000002,3.7297281
-0.24811,-0.17797,4.9068,0.15429,0.044156136699999994,-1.217426148,-0.0382808919,-0.8732631959999999,-0.0274589913,0.757070172
1.4884,3.6274,3.308,0.48921,5.39902216,4.923627199999999,0.7281401639999999,11.9994392,1.7745603540000001,1.6183066799999999
4.2969,7.617,-2.3874,-0.96164,32.7294873,-10.25841906,-4.132070916,-18.1848258,-7.32481188,2.295819336
-0.96511,9.4111,1.7305,-4.8629,-9.082746721,-1.670122855,4.693233419,16.28590855,-45.76523819,-8.41524845
-1.6162,0.80908,8.1628,0.60817,-1.307635096,-13.192717360000001,-0.982924354,6.604358224000001,0.4920581836,4.964370076000001
2.4391,6.4417,-0.80743,-0.69139,15.71195047,-1.969402513,-1.6863693489999998,-5.201221831,-4.453726962999999,0.5582490277
