RI,Na,Mg,Al,Si,K,Ca,Ba,Fe,cos(RI+Na),cos(RI+Mg),cos(RI+Al),cos(RI+Si),cos(RI+K),cos(RI+Ca),cos(RI+Ba),cos(RI+Fe),cos(Na+Mg),cos(Na+Al),cos(Na+Si),cos(Na+K),cos(Na+Ca),cos(Na+Ba),cos(Na+Fe),cos(Mg+Al),cos(Mg+Si),cos(Mg+K),cos(Mg+Ca),cos(Mg+Ba),cos(Mg+Fe),cos(Al+Si),cos(Al+K),cos(Al+Ca),cos(Al+Ba),cos(Al+Fe),cos(Si+K),cos(Si+Ca),cos(Si+Ba),cos(Si+Fe),cos(K+Ca),cos(K+Ba),cos(K+Fe),cos(Ca+Ba),cos(Ca+Fe),cos(Ba+Fe),Type
1.52101,13.64,4.49,1.1,71.78,0.06,8.75,0.0,0.0,-0.8541130507199700,0.9631883937518340,-0.8675295233921370,-0.5024389758061490,-0.010213495625795600,-0.6628092492208040,0.049765761962135400,0.049765761962135400,0.7520984735315880,-0.5669784286603410,-0.8270267516218710,0.42337454445066400,-0.9215076625839220,0.4769373749033420,0.4769373749033420,0.7692145393713330,0.6434678425736510,-0.1616762163536870,0.7815627107880270,-0.22056039798441900,-0.22056039798441900,-0.8119163530990350,0.39933952940627300,-0.9109471591078880,0.4535961214255770,0.4535961214255770,-0.9144574876530590,0.4072009575245060,-0.8885456051753320,-0.8885456051753320,-0.8169015341921130,0.9982005399352040,0.9982005399352040,-0.7808456836057490,-0.7808456836057490,1.0,1
1.51761,13.89,3.6,1.36,72.73,0.48,7.83,0.0,0.0,-0.9552320316983350,0.3942218904035360,-0.9653584538568240,0.407927213406002,-0.41397242923036400,-0.997024030153951,0.05316125489089790,0.05316125489089790,0.20967289385357300,-0.8969548417022890,0.22427792880502900,-0.2307350591400080,-0.9634638996238900,0.24465798416030100,0.24465798416030100,0.24508854269136200,0.5964091112669210,-0.5910734367830320,0.4208895277156870,-0.896758416334147,-0.896758416334147,0.259565872540653,-0.2659638756089800,-0.9725660176364080,0.20923866589141900,0.20923866589141900,-0.5789394232697360,0.43441377870094700,-0.8900374723152430,-0.8900374723152430,-0.4403768442844540,0.8869949227792840,0.8869949227792840,0.023979335325952500,0.023979335325952500,1.0,1
1.51618,13.53,3.55,1.54,72.99,0.39,7.78,0.0,0.0,-0.7888976243408310,0.3464565152743370,-0.9963545563356080,0.627822622489901,-0.32913149059718900,-0.9917426712454330,0.054589177944714900,0.054589177944714900,-0.19745349853547300,-0.8033104204822070,0.12586729070046100,0.21546397609860900,-0.7768499899847650,0.5705430531599810,0.5705430531599810,0.3687008514617330,0.41597982773211000,-0.6978483250035640,0.32822675259226400,-0.917754505966276,-0.917754505966276,0.6461832172915690,-0.35152884194096000,-0.9945158095364890,0.030791459082466100,0.030791459082466100,-0.432647570452472,0.6126327351269710,-0.7429235156722650,-0.7429235156722650,-0.3107845691391440,0.9249090598573130,0.9249090598573130,0.0739141653812273,0.0739141653812273,1.0,1
1.51766,13.21,3.69,1.29,72.61,0.57,8.22,0.0,0.0,-0.5567706579208220,0.4752701226033310,-0.944760682209814,0.295742448754428,-0.49415593396940900,-0.9514504250348950,0.05311132552743170,0.05311132552743170,-0.3697682638631700,-0.354924266788705,-0.5428256668400300,0.34962137233201400,-0.8466444450320720,0.7999230273097050,0.7999230273097050,0.2644282479640560,0.6202175538878210,-0.43711544130702800,0.7922122610537940,-0.8533559001656990,-0.8533559001656990,0.07250895329270870,-0.28518905924502100,-0.9963707993245620,0.2771208750565580,0.2771208750565580,-0.6031363677563990,0.6589239420322610,-0.9382121725782130,-0.9382121725782130,-0.8052033853057010,0.8419009751622690,0.8419009751622690,-0.35790038912391400,-0.35790038912391400,1.0,1
1.51742,13.27,3.62,1.24,73.08,0.55,8.07,0.0,0.0,-0.6053878424035140,0.41234904161607900,-0.9271088329436350,0.6961299552453380,-0.4764598060923360,-0.9868029133088100,0.053350985258930000,0.053350985258930000,-0.3790408608781640,-0.36425531546343300,-0.04378397239385710,0.3118760620257060,-0.7953881715414240,0.7624990405805390,0.7624990405805390,0.1470755535718630,0.2657868257612950,-0.5161835717748250,0.6399442502642140,-0.8877292517787500,-0.8877292517787500,0.47289425362406400,-0.21745242068136500,-0.9934202380925270,0.32479628443877600,0.32479628443877600,-0.19614731702428400,0.8620939211932600,-0.679754133874986,-0.679754133874986,-0.6932712706162250,0.8525245220595060,0.8525245220595060,-0.214342237068377,-0.214342237068377,1.0,1
1.51596,12.79,3.61,1.62,72.97,0.64,8.07,0.0,0.26,-0.16799268331525300,0.4018818359051620,-0.9999841366487100,0.6119569898299390,-0.5523358312624370,-0.9870382733639470,0.0548088485796945,-0.2037274032267190,-0.7699479605420720,-0.26946078227753700,-0.5922093687205500,0.6496826741947140,-0.4256207413818010,0.9750989841407340,0.8853131098124400,0.494805518914805,0.37928183380545700,-0.44608748991379300,0.6322281679828090,-0.8922884481070680,-0.7462355491298030,0.6907839058269620,-0.6359228165940030,-0.9650343229592000,-0.04918382191417060,-0.3043001710598330,-0.2157182702380310,0.8012535175812850,-0.7561615697197300,-0.5625173152563640,-0.7552387953835580,0.8020957578842930,0.6216099682706650,-0.214342237068377,-0.45824383537103800,0.9663899781345130,1
1.51743,13.3,3.6,1.14,73.09,0.58,8.17,0.0,0.0,-0.6289975496419080,0.39405646126604300,-0.8850650168146380,0.7032812964645890,-0.5026259917415730,-0.9657047927655080,0.05334099949804210,0.05334099949804210,-0.3697682638631700,-0.29822554157751000,-0.0037979645886086900,0.25434168418624400,-0.8672479032106910,0.7427491727036700,0.7427491727036700,0.02760751145421150,0.27541369412846200,-0.5075931258152770,0.6993056768682910,-0.896758416334147,-0.896758416334147,0.3917866099617850,-0.14865070027136300,-0.9934202380925270,0.4175945039583580,0.4175945039583580,-0.15677790116395500,0.9125135023815890,-0.6723858681190920,-0.6723858681190920,-0.7808456836057490,0.8364626499151870,0.8364626499151870,-0.3107845691391440,-0.3107845691391440,1.0,1
1.51756,13.15,3.61,1.05,73.24,0.57,8.24,0.0,0.0,-0.5058724360962610,0.40334642732976800,-0.8397179863302440,0.8016992309138180,-0.49406899417002900,-0.9451371832142780,0.0532111841214608,0.0532111841214608,-0.49580330839679200,-0.06279172292408350,-0.0037979645886086900,0.40517198543356200,-0.8246865363492500,0.8344681549537630,0.8344681549537630,-0.052365019161225900,0.11873921035404800,-0.5075931258152770,0.7541939335946280,-0.8922884481070680,-0.8922884481070680,0.446251856363259,-0.04918382191417060,-0.9909311911069860,0.497571047891727,0.497571047891727,-0.01742647722137340,0.9797856813265630,-0.5542214723793920,-0.5542214723793920,-0.8169015341921130,0.8419009751622690,0.8419009751622690,-0.3765027618802830,-0.3765027618802830,1.0,1
1.51918,14.04,3.58,1.37,72.08,0.56,8.3,0.0,0.0,-0.9889521721501090,0.37721844768244000,-0.9683127022707990,-0.2262706869704840,-0.4867659694799260,-0.9232264995380740,0.05159341008948220,0.05159341008948220,0.3346562331308540,-0.9559364026863820,-0.27038988067934500,-0.4464848914122660,-0.9397659370322290,0.09701411442317350,0.09701411442317350,0.23538144295445100,0.965931798010725,-0.5416417918356980,0.7735511692438020,-0.9054288894796300,-0.9054288894796300,-0.36853012420193500,-0.35152884194096000,-0.9700834440387660,0.19944972099757300,0.19944972099757300,-0.9274097488183280,0.26614091648540700,-0.9844412531709730,-0.9844412531709730,-0.8447074629185180,0.8472551110134160,0.8472551110134160,-0.4313768449706210,-0.4313768449706210,1.0,1
1.51755,13.0,3.6,1.36,72.99,0.57,8.4,0.0,0.11,-0.3712761753945070,0.39416674877663800,-0.9653427964812250,0.6288883813052380,-0.49406029991833900,-0.8810248768463930,0.053221169951614100,-0.05672321104249530,-0.627828035246386,-0.22099351850480600,-0.3929136907484420,0.5372447313175410,-0.8303011087085250,0.9074467814501960,0.8558370386229810,0.24508854269136200,0.37001021213065500,-0.5161835717748250,0.8438539587324920,-0.896758416334147,-0.8427593539586940,0.4991110779760120,-0.35152884194096000,-0.9443372866993280,0.20923866589141900,0.1006257333869320,-0.26425112057052000,0.9578400196842930,-0.7429235156722650,-0.6649503643367160,-0.8983585839090320,0.8419009751622690,0.7775727187509280,-0.5192886541166860,-0.6099665403862420,0.9939560979566970,1
