X1,X2,X3,X4,X5,X6,X1*X2,X1*X3,X1*X4,X1*X5,X1*X6,X2*X3,X2*X4,X2*X5,X2*X6,X3*X4,X3*X5,X3*X6,X4*X5,X4*X6,X5*X6
3,3,3,4,2,4,9.0,9.0,12.0,6.0,12.0,9.0,12.0,6.0,12.0,12.0,6.0,12.0,8.0,16.0,8.0
3,2,3,5,4,3,6.0,9.0,15.0,12.0,9.0,6.0,10.0,8.0,6.0,15.0,12.0,9.0,20.0,15.0,12.0
5,3,3,3,3,5,15.0,15.0,15.0,15.0,25.0,9.0,9.0,9.0,15.0,9.0,9.0,15.0,9.0,15.0,15.0
5,4,3,3,3,5,20.0,15.0,15.0,15.0,25.0,12.0,12.0,12.0,20.0,9.0,9.0,15.0,9.0,15.0,15.0
5,4,3,3,3,5,20.0,15.0,15.0,15.0,25.0,12.0,12.0,12.0,20.0,9.0,9.0,15.0,9.0,15.0,15.0
5,5,3,5,5,5,25.0,15.0,25.0,25.0,25.0,15.0,25.0,25.0,25.0,15.0,15.0,15.0,25.0,25.0,25.0
3,1,2,2,1,3,3.0,6.0,6.0,3.0,9.0,2.0,2.0,1.0,3.0,4.0,2.0,6.0,2.0,6.0,3.0
5,4,4,4,4,5,20.0,20.0,20.0,20.0,25.0,16.0,16.0,16.0,20.0,16.0,16.0,20.0,16.0,20.0,20.0
4,1,4,4,4,4,4.0,16.0,16.0,16.0,16.0,4.0,4.0,4.0,4.0,16.0,16.0,16.0,16.0,16.0,16.0
4,4,4,2,5,5,16.0,16.0,8.0,20.0,20.0,16.0,8.0,20.0,20.0,8.0,20.0,20.0,10.0,10.0,25.0
3,2,3,3,2,3,6.0,9.0,9.0,6.0,9.0,6.0,6.0,4.0,6.0,9.0,6.0,9.0,6.0,9.0,6.0
4,4,3,4,4,4,16.0,12.0,16.0,16.0,16.0,12.0,16.0,16.0,16.0,12.0,12.0,12.0,16.0,16.0,16.0
5,2,4,5,5,5,10.0,20.0,25.0,25.0,25.0,8.0,10.0,10.0,10.0,20.0,20.0,20.0,25.0,25.0,25.0
4,2,4,5,4,3,8.0,16.0,20.0,16.0,12.0,8.0,10.0,8.0,6.0,20.0,16.0,12.0,20.0,15.0,12.0
4,1,3,3,4,3,4.0,12.0,12.0,16.0,12.0,3.0,3.0,4.0,3.0,9.0,12.0,9.0,12.0,9.0,12.0
3,2,4,3,4,4,6.0,12.0,9.0,12.0,12.0,8.0,6.0,8.0,8.0,12.0,16.0,16.0,12.0,12.0,16.0
5,3,4,5,4,5,15.0,20.0,25.0,20.0,25.0,12.0,15.0,12.0,15.0,20.0,16.0,20.0,20.0,25.0,20.0
5,1,4,3,4,5,5.0,20.0,15.0,20.0,25.0,4.0,3.0,4.0,5.0,12.0,16.0,20.0,12.0,15.0,20.0
5,1,2,4,4,5,5.0,10.0,20.0,20.0,25.0,2.0,4.0,4.0,5.0,8.0,8.0,10.0,16.0,20.0,20.0
4,2,4,4,4,4,8.0,16.0,16.0,16.0,16.0,8.0,8.0,8.0,8.0,16.0,16.0,16.0,16.0,16.0,16.0
4,2,3,3,4,4,8.0,12.0,12.0,16.0,16.0,6.0,6.0,8.0,8.0,9.0,12.0,12.0,12.0,12.0,16.0
4,2,3,3,4,4,8.0,12.0,12.0,16.0,16.0,6.0,6.0,8.0,8.0,9.0,12.0,12.0,12.0,12.0,16.0
4,3,5,5,5,4,12.0,20.0,20.0,20.0,16.0,15.0,15.0,15.0,12.0,25.0,25.0,20.0,25.0,20.0,20.0
4,3,5,5,5,4,12.0,20.0,20.0,20.0,16.0,15.0,15.0,15.0,12.0,25.0,25.0,20.0,25.0,20.0,20.0
5,1,2,5,2,4,5.0,10.0,25.0,10.0,20.0,2.0,5.0,2.0,4.0,10.0,4.0,8.0,10.0,20.0,8.0
4,3,3,3,3,4,12.0,12.0,12.0,12.0,16.0,9.0,9.0,9.0,12.0,9.0,9.0,12.0,9.0,12.0,12.0
3,4,3,3,2,3,12.0,9.0,9.0,6.0,9.0,12.0,12.0,8.0,12.0,9.0,6.0,9.0,6.0,9.0,6.0
3,3,3,5,5,5,9.0,9.0,15.0,15.0,15.0,9.0,15.0,15.0,15.0,15.0,15.0,15.0,25.0,25.0,25.0
3,3,1,3,3,4,9.0,3.0,9.0,9.0,12.0,3.0,9.0,9.0,12.0,3.0,3.0,4.0,9.0,12.0,12.0
