STG,SCG,STR,LPR,PEG,STG*SCG,STG*STR,STG*LPR,STG*PEG,SCG*STR,SCG*LPR,SCG*PEG,STR*LPR,STR*PEG,LPR*PEG
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08,0.08,0.1,0.24,0.9,0.0064,0.008,0.0192,0.07200000000000001,0.008,0.0192,0.07200000000000001,0.024,0.09000000000000001,0.216
0.06,0.06,0.05,0.25,0.33,0.0036,0.003,0.015,0.0198,0.003,0.015,0.0198,0.0125,0.0165,0.0825
0.1,0.1,0.15,0.65,0.3,0.010000000000000002,0.015,0.065,0.03,0.015,0.065,0.03,0.0975,0.045,0.195
0.08,0.08,0.08,0.98,0.24,0.0064,0.0064,0.0784,0.0192,0.0064,0.0784,0.0192,0.0784,0.0192,0.2352
0.09,0.15,0.4,0.1,0.66,0.0135,0.036,0.009,0.0594,0.06,0.015,0.099,0.04000000000000001,0.264,0.066
0.1,0.1,0.43,0.29,0.56,0.010000000000000002,0.043000000000000003,0.028999999999999998,0.05600000000000001,0.043000000000000003,0.028999999999999998,0.05600000000000001,0.12469999999999999,0.24080000000000001,0.16240000000000002
0.15,0.02,0.34,0.4,0.01,0.003,0.051000000000000004,0.06,0.0015,0.0068000000000000005,0.008,0.0002,0.136,0.0034000000000000002,0.004
0.2,0.14,0.35,0.72,0.25,0.028000000000000004,0.06999999999999999,0.144,0.05,0.049,0.1008,0.035,0.252,0.0875,0.18
0.0,0.0,0.5,0.2,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.425,0.17
0.18,0.18,0.55,0.3,0.81,0.0324,0.099,0.054,0.1458,0.099,0.054,0.1458,0.165,0.44550000000000006,0.243
0.06,0.06,0.51,0.41,0.3,0.0036,0.0306,0.024599999999999997,0.018,0.0306,0.024599999999999997,0.018,0.20909999999999998,0.153,0.12299999999999998
0.1,0.1,0.52,0.78,0.34,0.010000000000000002,0.052000000000000005,0.07800000000000001,0.034,0.052000000000000005,0.07800000000000001,0.034,0.4056,0.1768,0.26520000000000005
0.1,0.1,0.7,0.15,0.9,0.010000000000000002,0.06999999999999999,0.015,0.09000000000000001,0.06999999999999999,0.015,0.09000000000000001,0.105,0.63,0.135
0.2,0.2,0.7,0.3,0.6,0.04000000000000001,0.13999999999999999,0.06,0.12,0.13999999999999999,0.06,0.12,0.21,0.42,0.18
0.12,0.12,0.75,0.35,0.8,0.0144,0.09,0.041999999999999996,0.096,0.09,0.041999999999999996,0.096,0.26249999999999996,0.6000000000000001,0.27999999999999997
0.05,0.07,0.7,0.01,0.05,0.0035000000000000005,0.034999999999999996,0.0005,0.0025000000000000005,0.049,0.0007000000000000001,0.0035000000000000005,0.006999999999999999,0.034999999999999996,0.0005
0.1,0.25,0.1,0.08,0.33,0.025,0.010000000000000002,0.008,0.033,0.025,0.02,0.0825,0.008,0.033,0.026400000000000003
0.15,0.32,0.05,0.27,0.29,0.048,0.0075,0.0405,0.0435,0.016,0.0864,0.0928,0.013500000000000002,0.014499999999999999,0.0783
0.2,0.29,0.25,0.49,0.56,0.057999999999999996,0.05,0.098,0.11200000000000002,0.0725,0.14209999999999998,0.16240000000000002,0.1225,0.14,0.27440000000000003
0.12,0.28,0.2,0.78,0.2,0.033600000000000005,0.024,0.0936,0.024,0.05600000000000001,0.21840000000000004,0.05600000000000001,0.15600000000000003,0.04000000000000001,0.15600000000000003
0.18,0.3,0.37,0.12,0.66,0.054,0.06659999999999999,0.021599999999999998,0.1188,0.111,0.036,0.198,0.044399999999999995,0.2442,0.0792
0.1,0.27,0.31,0.29,0.65,0.027000000000000003,0.031,0.028999999999999998,0.065,0.08370000000000001,0.0783,0.17550000000000002,0.0899,0.2015,0.1885
0.18,0.31,0.32,0.42,0.28,0.055799999999999995,0.0576,0.0756,0.0504,0.0992,0.13019999999999998,0.0868,0.1344,0.08960000000000001,0.11760000000000001
0.06,0.29,0.35,0.76,0.25,0.0174,0.020999999999999998,0.0456,0.015,0.10149999999999999,0.22039999999999998,0.0725,0.26599999999999996,0.0875,0.19
0.09,0.3,0.68,0.18,0.85,0.027,0.061200000000000004,0.0162,0.0765,0.20400000000000001,0.054,0.255,0.12240000000000001,0.5780000000000001,0.153
0.04,0.28,0.55,0.25,0.1,0.011200000000000002,0.022000000000000002,0.01,0.004,0.15400000000000003,0.07,0.028000000000000004,0.1375,0.05500000000000001,0.025
0.09,0.255,0.6,0.45,0.25,0.022949999999999998,0.054,0.0405,0.0225,0.153,0.11475,0.06375,0.27,0.15,0.1125
0.08,0.325,0.62,0.94,0.56,0.026000000000000002,0.0496,0.0752,0.044800000000000006,0.2015,0.3055,0.18200000000000002,0.5828,0.3472,0.5264
0.15,0.275,0.8,0.21,0.81,0.04125,0.12,0.0315,0.1215,0.22000000000000003,0.05775,0.22275000000000003,0.168,0.6480000000000001,0.1701
0.12,0.245,0.75,0.31,0.59,0.0294,0.09,0.0372,0.07079999999999999,0.18375,0.07595,0.14454999999999998,0.23249999999999998,0.4425,0.18289999999999998
0.15,0.295,0.75,0.65,0.24,0.04425,0.11249999999999999,0.0975,0.036,0.22125,0.19175,0.07079999999999999,0.48750000000000004,0.18,0.156
0.1,0.256,0.7,0.76,0.16,0.0256,0.06999999999999999,0.07600000000000001,0.016,0.1792,0.19456,0.04096,0.5319999999999999,0.11199999999999999,0.1216
0.18,0.32,0.04,0.19,0.82,0.0576,0.0072,0.0342,0.14759999999999998,0.0128,0.0608,0.26239999999999997,0.0076,0.032799999999999996,0.1558
0.2,0.45,0.28,0.31,0.78,0.09000000000000001,0.05600000000000001,0.062,0.15600000000000003,0.12600000000000003,0.1395,0.35100000000000003,0.0868,0.21840000000000004,0.24180000000000001
0.06,0.35,0.12,0.43,0.29,0.020999999999999998,0.0072,0.0258,0.0174,0.041999999999999996,0.1505,0.10149999999999999,0.0516,0.0348,0.12469999999999999
0.1,0.42,0.22,0.72,0.26,0.042,0.022000000000000002,0.072,0.026000000000000002,0.0924,0.3024,0.1092,0.15839999999999999,0.0572,0.1872
0.18,0.4,0.32,0.08,0.33,0.072,0.0576,0.0144,0.0594,0.128,0.032,0.132,0.0256,0.10560000000000001,0.026400000000000003
0.09,0.33,0.31,0.26,0.0,0.0297,0.027899999999999998,0.0234,0.0,0.1023,0.0858,0.0,0.0806,0.0,0.0
0.19,0.38,0.38,0.49,0.45,0.0722,0.0722,0.0931,0.0855,0.1444,0.1862,0.171,0.1862,0.171,0.2205
0.02,0.33,0.36,0.76,0.1,0.006600000000000001,0.0072,0.0152,0.002,0.1188,0.2508,0.033,0.2736,0.036,0.07600000000000001
