RI,Na,Mg,Al,Si,K,Ca,Ba,Fe,cos(RI+Na),cos(RI+Mg),cos(RI+Al),cos(RI+Si),cos(RI+K),cos(RI+Ca),cos(RI+Ba),cos(RI+Fe),cos(Na+Mg),cos(Na+Al),cos(Na+Si),cos(Na+K),cos(Na+Ca),cos(Na+Ba),cos(Na+Fe),cos(Mg+Al),cos(Mg+Si),cos(Mg+K),cos(Mg+Ca),cos(Mg+Ba),cos(Mg+Fe),cos(Al+Si),cos(Al+K),cos(Al+Ca),cos(Al+Ba),cos(Al+Fe),cos(Si+K),cos(Si+Ca),cos(Si+Ba),cos(Si+Fe),cos(K+Ca),cos(K+Ba),cos(K+Fe),cos(Ca+Ba),cos(Ca+Fe),cos(Ba+Fe)
1.52101,13.64,4.49,1.1,71.78,0.06,8.75,0.0,0.0,-0.8541130507199702,0.9631883937518336,-0.8675295233921367,-0.5024389758061494,-0.010213495625795621,-0.6628092492208044,0.049765761962135384,0.049765761962135384,0.7520984735315884,-0.5669784286603413,-0.8270267516218712,0.42337454445066386,-0.9215076625839218,0.4769373749033424,0.4769373749033424,0.7692145393713327,0.6434678425736509,-0.1616762163536865,0.7815627107880266,-0.22056039798441857,-0.22056039798441857,-0.8119163530990349,0.39933952940627304,-0.9109471591078876,0.4535961214255773,0.4535961214255773,-0.9144574876530587,0.4072009575245055,-0.8885456051753322,-0.8885456051753322,-0.8169015341921133,0.9982005399352042,0.9982005399352042,-0.7808456836057491,-0.7808456836057491,1.0
1.51761,13.89,3.6,1.36,72.73,0.48,7.83,0.0,0.0,-0.9552320316983347,0.3942218904035355,-0.9653584538568243,0.407927213406002,-0.41397242923036404,-0.997024030153951,0.05316125489089792,0.05316125489089792,0.20967289385357335,-0.8969548417022889,0.22427792880502864,-0.2307350591400076,-0.9634638996238896,0.24465798416030085,0.24465798416030085,0.24508854269136174,0.5964091112669212,-0.5910734367830315,0.4208895277156869,-0.896758416334147,-0.896758416334147,0.259565872540653,-0.2659638756089804,-0.9725660176364077,0.20923866589141926,0.20923866589141926,-0.5789394232697355,0.43441377870094716,-0.8900374723152432,-0.8900374723152432,-0.4403768442844543,0.8869949227792842,0.8869949227792842,0.023979335325952467,0.023979335325952467,1.0
1.51618,13.53,3.55,1.54,72.99,0.39,7.78,0.0,0.0,-0.7888976243408308,0.3464565152743365,-0.9963545563356083,0.627822622489901,-0.32913149059718905,-0.9917426712454326,0.054589177944714865,0.054589177944714865,-0.19745349853547298,-0.8033104204822067,0.12586729070046146,0.21546397609860915,-0.7768499899847654,0.5705430531599811,0.5705430531599811,0.3687008514617332,0.41597982773211006,-0.6978483250035639,0.32822675259226436,-0.917754505966276,-0.917754505966276,0.6461832172915694,-0.35152884194096007,-0.9945158095364889,0.030791459082466124,0.030791459082466124,-0.432647570452472,0.6126327351269709,-0.7429235156722649,-0.7429235156722649,-0.3107845691391436,0.9249090598573131,0.9249090598573131,0.0739141653812273,0.0739141653812273,1.0
1.51766,13.21,3.69,1.29,72.61,0.57,8.22,0.0,0.0,-0.5567706579208221,0.4752701226033309,-0.944760682209814,0.295742448754428,-0.49415593396940877,-0.9514504250348952,0.05311132552743168,0.05311132552743168,-0.3697682638631698,-0.354924266788705,-0.5428256668400303,0.34962137233201435,-0.8466444450320716,0.7999230273097051,0.7999230273097051,0.2644282479640558,0.6202175538878211,-0.43711544130702784,0.7922122610537938,-0.8533559001656994,-0.8533559001656994,0.07250895329270868,-0.28518905924502064,-0.9963707993245615,0.2771208750565576,0.2771208750565576,-0.6031363677563985,0.6589239420322607,-0.9382121725782128,-0.9382121725782128,-0.8052033853057011,0.8419009751622688,0.8419009751622688,-0.35790038912391375,-0.35790038912391375,1.0
1.51742,13.27,3.62,1.24,73.08,0.55,8.07,0.0,0.0,-0.6053878424035142,0.41234904161607866,-0.9271088329436348,0.6961299552453383,-0.4764598060923357,-0.9868029133088104,0.053350985258930034,0.053350985258930034,-0.3790408608781635,-0.36425531546343326,-0.04378397239385713,0.3118760620257062,-0.7953881715414242,0.7624990405805392,0.7624990405805392,0.1470755535718631,0.2657868257612953,-0.5161835717748248,0.6399442502642143,-0.8877292517787501,-0.8877292517787501,0.47289425362406423,-0.21745242068136467,-0.9934202380925271,0.32479628443877623,0.32479628443877623,-0.19614731702428378,0.8620939211932602,-0.679754133874986,-0.679754133874986,-0.6932712706162248,0.8525245220595057,0.8525245220595057,-0.214342237068377,-0.214342237068377,1.0
1.51596,12.79,3.61,1.62,72.97,0.64,8.07,0.0,0.26,-0.16799268331525338,0.4018818359051624,-0.9999841366487099,0.6119569898299387,-0.5523358312624368,-0.9870382733639466,0.0548088485796945,-0.2037274032267185,-0.7699479605420718,-0.26946078227753656,-0.5922093687205504,0.6496826741947139,-0.4256207413818005,0.9750989841407338,0.8853131098124399,0.494805518914805,0.37928183380545744,-0.44608748991379277,0.6322281679828087,-0.8922884481070684,-0.7462355491298028,0.6907839058269615,-0.6359228165940027,-0.9650343229592003,-0.04918382191417055,-0.3043001710598334,-0.2157182702380314,0.8012535175812853,-0.7561615697197299,-0.5625173152563635,-0.7552387953835575,0.8020957578842927,0.6216099682706645,-0.214342237068377,-0.45824383537103797,0.9663899781345132
1.51743,13.3,3.6,1.14,73.09,0.58,8.17,0.0,0.0,-0.6289975496419075,0.39405646126604305,-0.8850650168146376,0.7032812964645885,-0.5026259917415732,-0.9657047927655079,0.05334099949804214,0.05334099949804214,-0.3697682638631698,-0.29822554157751013,-0.0037979645886086883,0.25434168418624353,-0.8672479032106911,0.7427491727036695,0.7427491727036695,0.02760751145421152,0.27541369412846184,-0.5075931258152773,0.6993056768682907,-0.896758416334147,-0.896758416334147,0.3917866099617852,-0.14865070027136343,-0.9934202380925271,0.4175945039583582,0.4175945039583582,-0.15677790116395507,0.9125135023815885,-0.6723858681190917,-0.6723858681190917,-0.7808456836057491,0.8364626499151869,0.8364626499151869,-0.3107845691391436,-0.3107845691391436,1.0
1.51756,13.15,3.61,1.05,73.24,0.57,8.24,0.0,0.0,-0.5058724360962605,0.40334642732976783,-0.8397179863302442,0.8016992309138175,-0.49406899417002936,-0.9451371832142784,0.0532111841214608,0.0532111841214608,-0.49580330839679165,-0.06279172292408353,-0.0037979645886086883,0.40517198543356203,-0.8246865363492497,0.8344681549537633,0.8344681549537633,-0.052365019161225934,0.11873921035404784,-0.5075931258152773,0.7541939335946278,-0.8922884481070684,-0.8922884481070684,0.446251856363259,-0.04918382191417055,-0.9909311911069864,0.497571047891727,0.497571047891727,-0.01742647722137339,0.9797856813265629,-0.5542214723793917,-0.5542214723793917,-0.8169015341921133,0.8419009751622688,0.8419009751622688,-0.3765027618802833,-0.3765027618802833,1.0
1.51918,14.04,3.58,1.37,72.08,0.56,8.3,0.0,0.0,-0.9889521721501093,0.37721844768243973,-0.9683127022707991,-0.2262706869704836,-0.4867659694799258,-0.9232264995380738,0.05159341008948219,0.05159341008948219,0.3346562331308536,-0.9559364026863818,-0.27038988067934505,-0.4464848914122656,-0.9397659370322291,0.09701411442317345,0.09701411442317345,0.23538144295445118,0.965931798010725,-0.5416417918356978,0.7735511692438024,-0.9054288894796296,-0.9054288894796296,-0.36853012420193454,-0.35152884194096007,-0.9700834440387657,0.19944972099757285,0.19944972099757285,-0.9274097488183283,0.26614091648540694,-0.9844412531709725,-0.9844412531709725,-0.8447074629185176,0.8472551110134161,0.8472551110134161,-0.4313768449706208,-0.4313768449706208,1.0
1.51755,13.0,3.6,1.36,72.99,0.57,8.4,0.0,0.11,-0.3712761753945068,0.39416674877663826,-0.9653427964812252,0.6288883813052379,-0.49406029991833905,-0.8810248768463925,0.053221169951614106,-0.05672321104249526,-0.627828035246386,-0.22099351850480609,-0.3929136907484419,0.5372447313175408,-0.8303011087085252,0.9074467814501962,0.8558370386229814,0.24508854269136174,0.37001021213065544,-0.5161835717748248,0.8438539587324921,-0.896758416334147,-0.8427593539586935,0.4991110779760123,-0.35152884194096007,-0.9443372866993279,0.20923866589141926,0.1006257333869315,-0.26425112057051975,0.9578400196842926,-0.7429235156722649,-0.6649503643367158,-0.8983585839090317,0.8419009751622688,0.7775727187509279,-0.5192886541166856,-0.6099665403862415,0.9939560979566968
